"Part";"Value";"Device";"Package";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";
"BAT";"CR1220";"BATTERYBATTERY_12MM_SMT";"BATTCON_12MM_SMT";"Battery Holders";"";"";"";"";
"C1";"10u";"C-USC0805K";"C0805K";"CAPACITOR, American symbol";"";"";"";"";
"C2";"10u";"C-USC0805K";"C0805K";"CAPACITOR, American symbol";"";"";"";"";
"C3";"10u";"C-USC0805K";"C0805K";"CAPACITOR, American symbol";"";"";"";"";
"C4";"0.1uF";"C-USC0805K";"C0805K";"CAPACITOR, American symbol";"";"";"";"";
"C5";"0.1uF";"C-USC0805K";"C0805K";"CAPACITOR, American symbol";"";"";"";"";
"C6";"0.1u";"C-USC0805K";"C0805K";"CAPACITOR, American symbol";"";"";"";"";
"C7";"0.1u";"C-USC0805K";"C0805K";"CAPACITOR, American symbol";"";"";"";"";
"C8";".1u";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";
"C9";".1uF";"C-EUC0805";"C0805@1";"CAPACITOR, European symbol";"";"";"";"";
"CHG";"0805";"LEDCHIPLED_0805";"CHIPLED_0805";"LED";"";"";"";"";
"CN1";"";"JST_2PIN-SMT-RA";"JST-PH-2-SMT-RA";"JST 2-Pin Connectors of various flavors";"";"";"";"";
"I2C1";"10K";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";
"I2C2";"10K";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";
"IC1";"ATMEGA328P";"MEGA8-AI";"TQFP32-08";"MICROCONTROLLER";"";"ATMEGA8-16AU";"9171371";"73M8863";
"IC2";"MCP73831";"MCP73831";"SOT23-5";"Microchip's MCP73831";"";"";"";"";
"IC3";"CH340G";"CH340G";"SO16";"";"";"";"";"";
"IC4";"MCP1700-33";"MCP1700SOT89";"SOT89";"VOLTAGE REGULATOR";"";"";"";"";
"IC5";"24AA128SN";"24AA128SN";"SO-08";"Serial EEPROM";"MICROCHIP";"24AA128-I/SN";"unknown";"92C6842";
"ISP";"";"PINHD-2X3";"2X03";"PIN HEADER";"";"";"";"";
"J1";"AYZ0202";"AYZ0202";"AYZ0202";"SPDT Slide Switch";"";"";"";"";
"JP1";"";"PINHD-1X2";"1X02";"PIN HEADER";"";"";"";"";
"JP2";"";"M08";"1X08_ROUND";"Header 8";"";"";"";"";
"JP4";"";"M07";"1X07";"Header 7";"";"";"";"";
"RC";"4.7K";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";
"REMOTE";"FDN340P";"PMOSSOT23";"SOT-23";"MOS FET";"";"";"";"";
"RM1";"10K";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";
"RM2";"10K";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";
"RN1";"";"4R-NEXB38V";"EXB38V";"Array Chip Resistor";"";"";"unknown";"unknown";
"RRST";"10k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";
"RSD";"10K";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";
"RTC";"DS3231";"DS3231";"DS3231";"";"";"";"";"";
"U$1";"MICROSD-HRS_DM3D";"MICROSD-HRS_DM3D";"DM3D";"";"";"";"";"";
"U$3";"RFM12B_ANTENNA";"RFM12B_ANTENNA";"RFM12B-ANTENNA";"";"";"";"";"";
"U$5";"RFM69";"RFM69";"RFM69W-MINPADS";"";"";"";"";"";
"X1";"USBSMD";"USBSMD";"USB-MINIB";"USB Connectors";"";"";"";"";
"X2";"12MHz";"RESONATORSMD";"RESONATOR-SMD";"Resonator";"";"";"";"";
"X3";"16 MHz";"RESONATORSMD";"RESONATOR-SMD";"Resonator";"";"";"";"";
